Què són les estrelles?,Grans boles de gas que brillen gràcies a reaccions internes., Planetes que brillen al cel., Petits asteroides que es mouen per l’univers., Llunes que reflecteixen la llum del Sol.
De què depèn el color d’una estrella?,De la seva temperatura., De la seva distància a la Terra., De la quantitat de llum que reflecteix., De la seva velocitat de moviment.
Com es diu l'estrella més propera a la Terra després del Sol?, Pròxima Centauri., Sirius., Betelgeuse., Vega.
Què és una estrella fugaç?,Un meteorit que entra a l’atmosfera i s’encén., Una estrella que es mou molt ràpid pel cel., Una estrella que explota i desapareix., Una estrella que es converteix en un forat negre.
On es troba la majoria dels asteroides del sistema solar?,"Entre Mart i Júpiter, al cinturó d'asteroides.", Entre la Terra i Mart., A l’òrbita de Venus., Dins dels anells de Saturn.
Quin és el nom del cinturó on es concentren molts asteroides?,Cinturó d'asteroides., Cinturó de Kuiper., Cinturó de Van Allen., Cinturó de Neptú.
"Quina és la mida de l’asteroide més gran, Ceres?",Més de 900 quilòmetres de diàmetre., Uns 50 quilòmetres de diàmetre., Aproximadament 10.000 quilòmetres de diàmetre., No se sap exactament perquè és invisible.
Quina relació tenen els asteroides amb els dinosaures?, Un gran asteroide va causar la seva extinció fa 66 milions d’anys., Els asteroides van ajudar a la seva evolució., Els dinosaures vivien a la superfície dels asteroides., Els asteroides estan formats per restes de dinosaures fossilitzats.
Quin és el planeta més proper al Sol?, Mercuri, Venus, Terra, Mart
Quin planeta és conegut pels seus anells?, Saturn, Júpiter, Neptú, Urà
"Per què Mart es coneix com el ""planeta vermell""?"," Perquè la seva superfície conté òxid de ferro, donant-li un color vermellós.", Perquè té una atmosfera de foc., Perquè està cobert de llacs de lava., Perquè reflecteix la llum del Sol d’una manera especial.
"Quin planeta té la tempesta gegant anomenada ""Gran Taca Vermella""?", Júpiter, Saturn, Urà, Neptú
Què és un satèl·lit natural?, Un cos celeste que orbita al voltant d'un planeta., Un planeta petit que orbita el Sol., Una estrella que brilla al cel nocturn., Un satèl·lit artificial fet per l’ésser humà.
Per què veiem la Lluna brillar a la nit?, Perquè reflecteix la llum del Sol., Perquè emet la seva pròpia llum., Perquè està molt a prop del Sol., Perquè té una atmosfera de foc.
Quin és el satèl·lit natural més gran del sistema solar?, Ganímedes., La Lluna., Europa., Tità.
Quina d'aquestes afirmacions és certa sobre els satèl·lits naturals?, Alguns poden tenir una capa de gel i possiblement oceans sota la seva superfície., Tots tenen la mateixa mida i forma., Tots els satèl·lits tenen llum pròpia., Només la Terra té un satèl·lit natural.